288,36,313,78,1
288.31,51.544,312.61,92.396,0.95301
297,24,322,66,0.80566
305.08,29.41,331.05,73.074,0.79703
304.01,38.772,330.91,84.087,0.81113
301.77,41.271,328.35,86.031,0.83512
312.76,65.206,340.32,111.67,0.84043
322.37,75.097,351.27,123.79,0.82181
327.12,69.927,356.44,119.34,0.82788
324.88,40.321,354.31,90.015,0.82719
321.05,33.373,350.45,83.084,0.85577
317.75,52.272,346.56,101.02,0.8548
319.09,57.736,347.69,106.13,0.86643
319.57,66.157,347.47,113.34,0.89477
326.77,58.095,354.31,104.69,0.86135
328.1,53.007,355.39,99.123,0.84272
323.95,91.618,351.09,137.48,0.7413
310.58,120.21,337.25,165.3,0.75185
289.5,118.44,316.92,164.78,0.76731
282.04,119.54,309.9,166.65,0.76207
281.47,99.989,310.17,148.53,0.74464
280.38,86.979,308.87,135.18,0.73772
276.76,89.272,306.08,138.91,0.67978
281.79,99.068,311.39,149.17,0.58633
283.96,94.244,313.42,144.13,0.69982
280.85,70.557,311.62,122.64,0.66904
282.28,36.376,315.65,92.793,0.86301
280.85,27.655,315.47,86.165,0.7975
279.8,13.956,316.58,76.069,0.6895
273.15,-5.6408,309.62,55.948,0.45925
263.63,-30.034,298.59,29.04,0.52253
269.33,-21.33,304.11,37.449,0.534
269.76,-17.315,303.68,40.012,0.51028
281.03,8.4993,313.44,63.399,0.70189
287.31,4.0816,317.76,55.745,0.65182
288.85,-9.7058,319.27,41.893,0.55295
298.06,-25.327,327.7,24.97,0.50388
298.53,-30.118,328.88,21.37,0.47472
304.19,-29.808,334.43,21.498,0.46239
302.06,-12.757,334.1,41.57,0.42629
304.05,-8.6464,336.49,46.329,0.49065
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
298.5,6,335,67.5,0.68751
304.05,34.524,339.18,93.825,0.68481
309.32,49.815,343.42,107.49,0.72775
313.25,67.677,344.93,121.36,0.68028
313.75,63.165,345.59,117.13,0.82666
309.96,60.013,341.45,113.44,0.78469
304.38,57.69,337.11,113.2,0.79095
301.15,51.293,333.97,106.97,0.75324
296.26,42.008,329.38,98.197,0.72598
291.17,30.641,325.18,88.321,0.75234
289.36,30.548,322.93,87.494,0.72638
289.22,40.991,322.18,96.936,0.71596
286.62,45.492,319.6,101.47,0.68198
284.82,53.996,317.93,110.2,0.71438
283.56,67.553,316.58,123.59,0.71842
268.54,73.599,301.84,130.09,0.80775
248.17,62.371,281.2,118.43,0.77649
243.05,90.558,275.52,145.67,0.83753
265.78,73.428,299.01,129.82,0.82855
265.12,30.582,299.2,88.394,0.79984
267.6,32.843,301.35,90.099,0.78402
275.92,60.77,309.64,117.97,0.75171
290,86.778,324.89,145.78,0.681
296.43,96.109,330.77,154.27,0.77532
300.75,103.38,335,161.42,0.77746
301.69,105.52,335.14,162.24,0.70995
308.78,113.13,341.82,169.19,0.73091
307.5,123.33,340.46,179.27,0.83095
308.95,125.2,341.49,180.42,0.80489
289.3,101.42,322.22,157.28,0.79393
276.43,56.234,308.96,111.46,0.77019
276.42,56.324,308.92,111.48,0.80996
281.03,73.242,313.5,128.35,0.82861
285.51,75.906,318.04,131.13,0.80286
290.78,74.693,323.34,129.96,0.79349
292.67,67.984,325.62,123.9,0.80309
295.88,57.704,329.44,114.64,0.8208
299.82,60.8,333.02,117.14,0.8294
304.35,66.099,337.6,122.52,0.81938
305.23,62.095,339.75,120.64,0.74813
307.91,59.246,342.45,117.84,0.72777
305.54,56.66,342.71,119.64,0.70284
302.3,59.871,339.2,122.41,0.76972
302,45,338,106,0.66764
298.85,38.348,334.81,99.291,0.72504
297.36,43.873,333.58,105.24,0.65681
296.16,31.902,333.51,94.955,0.79098
296.77,19.87,334.41,83.332,0.72581
304.42,0.69741,342.85,65.472,0.67399
309.58,-2.5369,347.72,61.792,0.54187
308.14,-6.18,346.72,58.914,0.50128
307.73,-5.1715,345.84,59.17,0.49561
305.13,13.18,343.66,78.058,0.70363
301.35,39.309,338.87,102.53,0.64291
290.34,71.906,327.45,134.37,0.76589
284.64,77.724,321.97,140.56,0.69635
280,95,316,156,0.69066
